Restaurant;Location;Cuisines;Average_Cost;Minimum_Order;Rating;Votes;Reviews;Delivery_Time
ID_6321;FTI College, Law College Road, Pune;Fast Food, Rolls, Burger, Salad, Wraps;200;50;3.5;12;4;30 minutes
ID_2882;Sector 3, Marathalli;Ice Cream, Desserts;100;50;3.5;11;4;30 minutes
ID_1595;Mumbai Central;Italian, Street Food, Fast Food;150;50;3.6;99;30;65 minutes
ID_5929;Sector 1, Noida;Mughlai, North Indian, Chinese;250;99;3.7;176;95;30 minutes
ID_6123;Rmz Centennial, I Gate, Whitefield;Cafe, Beverages;200;99;3.2;521;235;65 minutes
ID_5221;Rmz Centennial, I Gate, Whitefield;South Indian, North Indian, Chinese;150;50;3.8;46;18;30 minutes
ID_3777;Mumbai Central;Beverages, Fast Food;150;50;3.7;108;31;30 minutes
ID_745;Delhi University-GTB Nagar;Chinese, Thai, Asian;650;50;4.0;1731;1235;45 minutes
ID_2970;Delhi University-GTB Nagar;Mithai, Street Food;100;50;3.9;110;26;30 minutes
ID_3474;Sector 1, Noida;Fast Food, North Indian, Rolls, Chinese, Momos, Mughlai;200;50;3.9;562;294;65 minutes
ID_5159;Mumbai Central;North Indian, Chinese, Mughlai;350;50;3.8;186;61;30 minutes
ID_1696;Yerawada, Pune, Maharashtra;Chinese, Thai, Indonesian, Italian;800;50;4.2;1693;1239;45 minutes
ID_1156;Sector 1, Noida;Burger, Fast Food, Desserts, Beverages;150;50;-;-;-;30 minutes
ID_354;Delhi University-GTB Nagar;Beverages;50;0;3.8;184;128;45 minutes
ID_6891;Delhi Administration Flats, Timarpur;Fast Food;100;50;3.5;23;5;30 minutes
ID_6406;Moulali, Kolkata;Biryani, Mughlai;100;50;3.6;353;53;30 minutes
ID_2141;Sector 1, Noida;Italian;100;50;-;-;-;30 minutes
ID_3355;Dockyard Road, Mumbai CST Area;Chinese, North Indian, South Indian, Fast Food;200;50;3.7;139;47;30 minutes
ID_5262;Pune University;Kerala, Bihari;150;50;-;-;-;30 minutes
ID_8148;Gora Bazar, Rajbari, North Dumdum, Kolkata;South Indian;100;50;3.7;159;46;30 minutes
ID_1681;D-Block, Sector 63, Noida;Chinese, North Indian, Rolls, Momos;200;99;2.8;67;23;45 minutes
ID_3994;Sector 14, Noida;North Indian, Rolls;150;50;3.9;387;160;45 minutes
ID_4012;D-Block, Sector 63, Noida;North Indian, Chinese;250;50;3.0;5;2;30 minutes
ID_240;D-Block, Sector 63, Noida;Biryani, North Indian;200;99;3.7;138;26;65 minutes
ID_4751;Sector 3, Marathalli;North Indian, Chinese, Fast Food;150;50;3.2;4;1;30 minutes
ID_4944;Mico Layout, Stage 2, BTM Layout,Bangalore;Desserts, Ice Cream;100;50;-;-;-;45 minutes
ID_7029;D-Block, Sector 63, Noida;North Indian, Chinese;100;99;3.7;110;38;45 minutes
ID_6769;Mumbai Central;Fast Food, South Indian, Street Food;150;50;3.2;15;9;45 minutes
ID_5547;Dockyard Road, Mumbai CST Area;North Indian;150;50;3.3;44;19;45 minutes
ID_1957;Sector 1, Noida;North Indian, Chinese;200;50;3.8;18;18;30 minutes
ID_425;Gora Bazar, Rajbari, North Dumdum, Kolkata;North Indian;150;50;3.2;18;7;30 minutes
ID_4965;D-Block, Sector 63, Noida;Cafe, Mexican, Japanese, Italian, Chinese;400;50;4.0;189;132;30 minutes
ID_5192;FTI College, Law College Road, Pune;Bakery, Fast Food, Rolls, Beverages;200;50;3.1;279;74;45 minutes
ID_6079;D-Block, Sector 63, Noida;North Indian, Chinese;350;99;3.3;22;13;45 minutes
ID_3069;Laxman Vihar Industrial Area, Sector 3A, Gurgoan;North Indian;100;50;4.0;581;111;30 minutes
ID_1160;Sector 1, Noida;Asian, Burmese, Bubble Tea, Desserts, Salad, Tea, Beverages, Ice Cream;600;50;4.7;914;499;45 minutes
ID_4494;Pune University;Street Food;100;50;3.4;23;7;30 minutes
ID_2139;Moulali, Kolkata;Fast Food, South Indian;100;50;3.6;105;53;30 minutes
ID_332;Delhi University-GTB Nagar;Pizza, Fast Food;200;50;3.5;305;29;45 minutes
ID_1209;Tiretti, Kolkata;Cafe, Desserts;300;50;3.6;54;34;30 minutes
ID_5285;Sandhurst Road, Mumbai CST Area;Mughlai, North Indian;200;50;4.0;1408;851;45 minutes
ID_7544;Mumbai Central;Desserts, Beverages;150;50;4.1;806;513;45 minutes
ID_7299;MG Road, Pune;Bakery, Desserts, Beverages;150;50;3.7;41;22;30 minutes
ID_4154;Hyderabad Public School, Begumpet;South Indian;100;50;3.7;100;27;45 minutes
ID_3869;Tiretti, Kolkata;North Indian;200;50;3.6;106;32;30 minutes
ID_6868;Majestic;North Indian, Street Food;200;50;3.8;37;25;30 minutes
ID_1641;D-Block, Sector 63, Noida;North Indian, Chinese;200;50;3.4;45;37;30 minutes
ID_2809;Mico Layout, Stage 2, BTM Layout,Bangalore;Chinese;200;50;NEW;-;-;30 minutes
ID_5022;Delhi University-GTB Nagar;Chinese, Fast Food;200;99;3.5;63;8;45 minutes
ID_4866;Delhi University-GTB Nagar;Lucknowi;200;50;-;-;-;30 minutes
ID_6857;FTI College, Law College Road, Pune;South Indian, North Indian;150;50;3.1;253;35;30 minutes
ID_3429;FTI College, Law College Road, Pune;Biryani, Chinese;150;50;3.2;4;4;30 minutes
ID_1521;Sandhurst Road, Mumbai CST Area;Tea, Fast Food;100;50;3.3;12;6;30 minutes
ID_5090;MG Road, Pune;Fast Food, Italian, Beverages;200;50;3.9;327;173;45 minutes
ID_348;Sector 1, Noida;North Indian, Beverages;250;50;3.4;49;36;30 minutes
ID_1443;Chandni Chowk, Kolkata;Fast Food;100;50;3.3;11;1;30 minutes
ID_8281;MG Road, Pune;Street Food, Fast Food, North Indian;150;50;2.9;8;5;45 minutes
ID_4562;Delhi University-GTB Nagar;Chinese;250;50;3.8;19;15;30 minutes
ID_156;Mico Layout, Stage 2, BTM Layout,Bangalore;Rolls, Chinese;100;50;3.7;18;6;30 minutes
ID_5570;Delhi Administration Flats, Timarpur;South Indian, Chinese, Street Food;100;50;3.1;7;2;30 minutes
ID_8368;MG Road, Pune;North Indian, Mangalorean;350;50;3.5;16;8;45 minutes
ID_294;Sector 1, Noida;Bakery, Desserts, Fast Food;100;50;NEW;-;-;30 minutes
ID_6967;Yerawada, Pune, Maharashtra;Cafe, European, Continental, Sandwich, Salad, Healthy Food;600;50;4.6;391;174;30 minutes
ID_2994;Sector 3, Marathalli;Bengali;200;50;3.5;32;23;30 minutes
ID_6369;Sector 1, Noida;Bakery, Fast Food;200;50;3.3;39;11;30 minutes
ID_7768;Sector 14, Noida;Fast Food;150;99;3.9;116;19;30 minutes
ID_134;Dockyard Road, Mumbai CST Area;Desserts;100;50;3.4;22;9;45 minutes
ID_8414;Mico Layout, Stage 2, BTM Layout,Bangalore;Desserts, Beverages, American;200;50;3.9;51;29;45 minutes
ID_2216;Delhi High Court, India Gate;Chinese, Thai;150;50;3.2;9;1;30 minutes
ID_2131;Mumbai Central;Chinese, Fast Food, Mughlai;300;50;3.7;128;30;45 minutes
ID_8057;Rmz Centennial, I Gate, Whitefield;Cafe, Continental, Fast Food;300;50;4.1;119;59;30 minutes
ID_3309;D-Block, Sector 63, Noida;Chinese, Rolls;150;50;-;-;-;30 minutes
ID_7722;Sector 1, Noida;North Indian, Fast Food;200;50;3.4;26;16;30 minutes
ID_3117;Moulali, Kolkata;Mishti, Fast Food, South Indian;100;50;4.0;381;89;65 minutes
ID_6905;Majestic;South Indian, North Indian, Chinese, Beverages;350;50;4.2;441;170;30 minutes
ID_3087;Chandni Chowk, Kolkata;Fast Food, Bengali;100;50;-;-;-;30 minutes
ID_207;Delhi Administration Flats, Timarpur;Mithai, Street Food;100;50;3.7;62;10;30 minutes
ID_5095;Rmz Centennial, I Gate, Whitefield;Beverages, Desserts;100;50;3.6;7;4;30 minutes
ID_8233;Delhi University-GTB Nagar;Fast Food;100;50;3.6;90;31;30 minutes
ID_6205;Sector 14, Noida;Rolls;100;50;NEW;-;-;30 minutes
ID_7753;Sandhurst Road, Mumbai CST Area;European, Continental, North Indian, Desserts;750;50;4.3;3124;1660;45 minutes
ID_888;D-Block, Sector 63, Noida;Biryani, Mughlai, North Indian;100;50;3.5;69;37;30 minutes
ID_164;D-Block, Sector 63, Noida;North Indian, Mughlai;150;50;3.3;-;-;30 minutes
ID_2653;Sector 14, Noida;North Indian, Chinese;200;50;3.9;385;71;30 minutes
ID_2818;MG Road, Pune;North Indian, Chinese;150;99;2.8;96;41;45 minutes
ID_7520;Sector 1, Noida;North Indian, Chinese;200;50;NEW;-;-;45 minutes
ID_4849;MG Road, Pune;Chinese, Pizza, Fast Food;150;50;3.7;55;20;30 minutes
ID_4179;D-Block, Sector 63, Noida;North Indian;200;50;3.3;9;5;30 minutes
ID_5321;Rmz Centennial, I Gate, Whitefield;Biryani, Hyderabadi, North Indian, Mughlai;100;50;2.6;-;-;30 minutes
ID_2376;Chatta Bazaar, Malakpet, Hyderabad;South Indian;50;50;3.5;12;2;30 minutes
ID_3147;Sandhurst Road, Mumbai CST Area;Momos, Fast Food;150;50;3.5;85;40;30 minutes
ID_6452;Sector 63A,Gurgaon;Mithai, North Indian, South Indian, Chinese, Street Food;150;50;NEW;-;-;30 minutes
ID_5076;Mico Layout, Stage 2, BTM Layout,Bangalore;South Indian, North Indian;100;50;3.7;27;5;30 minutes
ID_7738;Rmz Centennial, I Gate, Whitefield;Continental, Beverages, Desserts;200;50;NEW;-;-;30 minutes
ID_4942;Mumbai Central;Fast Food, Ice Cream, Beverages;200;50;3.8;107;47;30 minutes
ID_3468;D-Block, Sector 63, Noida;Fast Food;100;50;3.3;13;4;30 minutes
ID_3797;Delhi High Court, India Gate;Fast Food;200;50;3.3;25;16;30 minutes
ID_6224;D-Block, Sector 63, Noida;Chinese;100;50;3.5;24;1;30 minutes
ID_1124;Delhi University-GTB Nagar;Burger, Fast Food;100;50;-;-;-;30 minutes
ID_6637;Delhi Cantt.;Mughlai;150;50;2.8;7;3;30 minutes
ID_8434;Sector 3, Marathalli;Chinese;300;99;2.9;393;191;65 minutes
